"alpha","FDR","power"
0.02,0,0
0.05,0,0
0.07,0,0
0.1,0.181818181818182,0.0947368421052632
0.15,0.173913043478261,0.1
0.2,0.170731707317073,0.178947368421053
0.25,0.159090909090909,0.194736842105263
0.3,0.191489361702128,0.2
0.35,0.15,0.268421052631579
0.4,0.169014084507042,0.310526315789474
0.45,0.1875,0.342105263157895
0.5,0.182926829268293,0.352631578947368
0.55,0.245098039215686,0.405263157894737
0.6,0.252427184466019,0.405263157894737
0.65,0.482926829268293,0.557894736842105
0.7,0.493023255813954,0.573684210526316
0.75,0.525,0.6
0.8,0.544,0.6
0.85,0.706896551724138,0.626315789473684
0.9,0.826330532212885,0.652631578947368
0.95,0.909156452775775,0.663157894736842
1,0.909156452775775,0.663157894736842
