"alpha","FDR","power"
0.02,0,1
0.05,0.0264026402640264,1
0.07,0.0390879478827362,1
0.1,0.0664556962025316,1
0.15,0.139941690962099,1
0.2,0.18732782369146,1
0.25,0.247448979591837,1
0.3,0.299287410926366,1
0.35,0.337078651685393,1
0.4,0.426070038910506,1
0.45,0.52572347266881,1
0.5,0.55030487804878,1
0.55,0.592541436464088,1
0.6,0.628930817610063,1
0.65,0.690775681341719,1
0.7,0.717162032598274,1
0.75,0.789135096497498,1
0.8,0.808192457737321,1
0.85,0.808192457737321,1
0.9,0.808192457737321,1
0.95,0.808192457737321,1
1,0.808192457737321,1
