"alpha","FDR","power"
0.02,0.00869565217391304,1
0.05,0.0578512396694215,1
0.07,0.0731707317073171,1
0.1,0.109375,1
0.15,0.167883211678832,1
0.2,0.219178082191781,1
0.25,0.25,1
0.3,0.393617021276596,1
0.35,0.438423645320197,1
0.4,0.488789237668161,1
0.45,0.504347826086956,1
0.5,0.530864197530864,1
0.55,0.552941176470588,1
0.6,0.579335793357934,1
0.65,0.610921501706485,1
0.7,0.703125,1
0.75,0.75,1
0.8,0.788888888888889,1
0.85,0.803448275862069,1
0.9,0.834302325581395,1
0.95,0.892045454545455,1
1,0.915991156963891,1
