"alpha","FDR","power"
0.02,0.0136239782016349,1
0.05,0.0548302872062663,1
0.07,0.0741687979539642,1
0.1,0.1256038647343,1
0.15,0.180995475113122,1
0.2,0.237894736842105,1
0.25,0.280318091451292,1
0.3,0.309160305343511,1
0.35,0.367132867132867,1
0.4,0.408496732026144,1
0.45,0.473837209302326,1
0.5,0.511470985155196,1
0.55,0.564903846153846,1
0.6,0.597777777777778,1
0.65,0.637637637637638,1
0.7,0.68630849220104,1
0.75,0.733431516936672,1
0.8,0.765239948119325,1
0.85,0.765239948119325,1
0.9,0.765239948119325,1
0.95,0.765239948119325,1
1,0.765239948119325,1
