"alpha","FDR","power"
0.02,0.0262008733624454,1
0.05,0.0429184549356223,1
0.07,0.0746887966804979,1
0.1,0.097165991902834,1
0.15,0.12890625,1
0.2,0.194945848375451,1
0.25,0.22027972027972,1
0.3,0.275974025974026,1
0.35,0.328313253012048,1
0.4,0.377094972067039,1
0.45,0.419270833333333,1
0.5,0.4425,1
0.55,0.477751756440281,1
0.6,0.559288537549407,1
0.65,0.591575091575092,1
0.7,0.630794701986755,1
0.75,0.731001206272618,1
0.8,0.818993506493506,1
0.85,0.850636302746149,1
0.9,0.850636302746149,1
0.95,0.850636302746149,1
1,0.850636302746149,1
