"alpha","FDR","power"
0.02,0.0342679127725857,1
0.05,0.0690690690690691,1
0.07,0.0828402366863905,1
0.1,0.126760563380282,1
0.15,0.171122994652406,1
0.2,0.217171717171717,1
0.25,0.295454545454545,1
0.3,0.324618736383442,1
0.35,0.362139917695473,1
0.4,0.39922480620155,1
0.45,0.46551724137931,1
0.5,0.523076923076923,1
0.55,0.618226600985222,1
0.6,0.664864864864865,1
0.65,0.693372898120673,1
0.7,0.732065687121867,1
0.75,0.767964071856287,1
0.8,0.80064308681672,1
0.85,0.80064308681672,1
0.9,0.80064308681672,1
0.95,0.80064308681672,1
1,0.80064308681672,1
