"alpha","FDR","power"
0.02,0.00967741935483871,1
0.05,0.0253968253968254,1
0.07,0.0524691358024691,1
0.1,0.0863095238095238,1
0.15,0.125356125356125,1
0.2,0.172506738544474,1
0.25,0.200520833333333,1
0.3,0.281030444964871,1
0.35,0.322295805739514,1
0.4,0.400390625,1
0.45,0.477891156462585,1
0.5,0.534848484848485,1
0.55,0.554426705370102,1
0.6,0.606410256410256,1
0.65,0.634088200238379,1
0.7,0.672008547008547,1
0.75,0.718606782768103,1
0.8,0.769519519519519,1
0.85,0.794923179692719,1
0.9,0.794923179692719,1
0.95,0.794923179692719,1
1,0.794923179692719,1
