"FDR","pow"
0.0172413793103448,0.278048780487805
0.0615384615384615,0.297560975609756
0.0958904109589041,0.321951219512195
0.0875,0.35609756097561
0.172043010752688,0.375609756097561
0.236363636363636,0.409756097560976
0.258064516129032,0.448780487804878
0.304347826086957,0.468292682926829
0.352941176470588,0.482926829268293
0.401162790697674,0.502439024390244
0.467005076142132,0.51219512195122
0.557312252964427,0.546341463414634
0.598039215686274,0.6
0.648793565683646,0.639024390243902
0.673809523809524,0.668292682926829
0.715725806451613,0.68780487804878
0.768202080237742,0.760975609756098
0.804556354916067,0.795121951219512
0.848615916955017,0.853658536585366
0.879924953095685,0.936585365853659
0.881846153846154,0.936585365853659
0.881846153846154,0.936585365853659
