"FDR","pow"
0.0344827586206897,0.323699421965318
0.0575539568345324,0.378612716763006
0.0769230769230769,0.416184971098266
0.0946745562130177,0.442196531791907
0.151832460732984,0.468208092485549
0.195555555555556,0.523121387283237
0.233870967741935,0.549132947976879
0.266903914590747,0.595375722543353
0.295081967213115,0.621387283236994
0.329192546583851,0.624277456647399
0.382513661202186,0.653179190751445
0.452272727272727,0.696531791907514
0.492217898832685,0.754335260115607
0.533216783216783,0.771676300578035
0.563897763578275,0.789017341040462
0.594900849858357,0.826589595375723
0.631840796019901,0.855491329479769
0.676939426142402,0.878612716763006
0.742810188989318,0.904624277456647
0.800121876904327,0.947976878612717
0.800365185636032,0.947976878612717
0.800365185636032,0.947976878612717
