"alpha","FDR","power"
0.02,0,0.370253164556962
0.05,0.0104712041884817,0.598101265822785
0.07,0.0144927536231884,0.645569620253165
0.1,0.0336134453781513,0.727848101265823
0.15,0.0690909090909091,0.810126582278481
0.2,0.0949152542372881,0.844936708860759
0.25,0.16,0.863924050632911
0.3,0.206303724928367,0.876582278481013
0.35,0.236914600550964,0.876582278481013
0.4,0.269129287598945,0.876582278481013
0.45,0.327669902912621,0.876582278481013
0.5,0.381696428571429,0.876582278481013
0.55,0.450592885375494,0.879746835443038
0.6,0.516521739130435,0.879746835443038
0.65,0.626845637583893,0.879746835443038
0.7,0.678983833718245,0.879746835443038
0.75,0.709812108559499,0.879746835443038
0.8,0.784663051897754,0.879746835443038
0.85,0.813297515110813,0.879746835443038
0.9,0.813297515110813,0.879746835443038
0.95,0.813297515110813,0.879746835443038
1,0.813297515110813,0.879746835443038
