"alpha","FDR","power"
0.02,0.025830258302583,0.763005780346821
0.05,0.0529801324503311,0.826589595375723
0.07,0.0550161812297735,0.84393063583815
0.1,0.0707692307692308,0.872832369942196
0.15,0.127423822714681,0.910404624277457
0.2,0.160526315789474,0.921965317919075
0.25,0.241784037558685,0.933526011560694
0.3,0.283813747228381,0.933526011560694
0.35,0.317124735729387,0.933526011560694
0.4,0.376447876447876,0.933526011560694
0.45,0.418018018018018,0.933526011560694
0.5,0.45531197301855,0.933526011560694
0.55,0.531114327062229,0.936416184971098
0.6,0.588310038119441,0.936416184971098
0.65,0.638487208008899,0.939306358381503
0.7,0.701561065197429,0.939306358381503
0.75,0.728940783986656,0.939306358381503
0.8,0.767691208005718,0.939306358381503
0.85,0.782171581769437,0.939306358381503
0.9,0.782171581769437,0.939306358381503
0.95,0.782171581769437,0.939306358381503
1,0.782171581769437,0.939306358381503
