"FDR","pow"
0.037037037037037,0.239263803680982
0.111111111111111,0.319018404907975
0.118110236220472,0.343558282208589
0.116788321167883,0.371165644171779
0.146341463414634,0.429447852760736
0.187845303867403,0.450920245398773
0.197916666666667,0.47239263803681
0.263392857142857,0.506134969325153
0.338345864661654,0.539877300613497
0.406940063091483,0.576687116564417
0.480519480519481,0.613496932515337
0.53091684434968,0.674846625766871
0.576427255985267,0.705521472392638
0.633484162895928,0.745398773006135
0.67680608365019,0.782208588957055
0.725856697819315,0.809815950920245
0.758913412563667,0.871165644171779
0.80655737704918,0.904907975460123
0.819226118500605,0.917177914110429
0.819335347432024,0.917177914110429
0.819335347432024,0.917177914110429
0.819335347432024,0.917177914110429
