"FDR","pow"
0.0428571428571429,0.396449704142012
0.0864197530864197,0.437869822485207
0.101123595505618,0.473372781065089
0.158415841584158,0.502958579881657
0.224137931034483,0.532544378698225
0.256,0.550295857988166
0.311111111111111,0.550295857988166
0.323741007194245,0.556213017751479
0.4,0.568047337278107
0.4375,0.585798816568047
0.49009900990099,0.609467455621302
0.520547945205479,0.621301775147929
0.517391304347826,0.656804733727811
0.630252100840336,0.781065088757396
0.686046511627907,0.798816568047337
0.72289156626506,0.816568047337278
0.7703125,0.869822485207101
0.793956043956044,0.887573964497041
0.837474120082816,0.928994082840237
0.875762195121951,0.964497041420118
0.896310432569975,0.964497041420118
0.896310432569975,0.964497041420118
