"alpha","FDR","power"
0.02,0.0267175572519084,0.825242718446602
0.05,0.0657439446366782,0.87378640776699
0.07,0.0652920962199313,0.880258899676375
0.1,0.0707070707070707,0.893203883495146
0.15,0.121951219512195,0.932038834951456
0.2,0.220159151193634,0.951456310679612
0.25,0.263681592039801,0.957928802588997
0.3,0.315789473684211,0.967637540453074
0.35,0.372384937238494,0.970873786407767
0.4,0.415533980582524,0.97411003236246
0.45,0.429924242424242,0.97411003236246
0.5,0.473867595818815,0.977346278317152
0.55,0.516025641025641,0.977346278317152
0.6,0.574047954866008,0.977346278317152
0.65,0.626699629171817,0.977346278317152
0.7,0.659550561797753,0.980582524271845
0.75,0.698807157057654,0.980582524271845
0.8,0.7701062215478,0.980582524271845
0.85,0.796234028244788,0.980582524271845
0.9,0.796234028244788,0.980582524271845
0.95,0.796234028244788,0.980582524271845
1,0.796234028244788,0.980582524271845
