"alpha","FDR","power"
0.02,0.0460526315789474,0.932475884244373
0.05,0.0745341614906832,0.958199356913183
0.07,0.0990990990990991,0.964630225080386
0.1,0.141242937853107,0.977491961414791
0.15,0.20671834625323,0.987138263665595
0.2,0.220812182741117,0.987138263665595
0.25,0.238213399503722,0.987138263665595
0.3,0.296127562642369,0.993569131832797
0.35,0.360082304526749,1
0.4,0.408745247148289,1
0.45,0.457242582897033,1
0.5,0.498387096774194,1
0.55,0.532330827067669,1
0.6,0.616049382716049,1
0.65,0.681352459016393,1
0.7,0.70632672332389,1
0.75,0.74735987002437,1
0.8,0.786254295532646,1
0.85,0.794312169312169,1
0.9,0.794312169312169,1
0.95,0.794312169312169,1
1,0.794312169312169,1
