"alpha","FDR","power"
0.02,0.00904977375565611,0.805147058823529
0.05,0.0461538461538462,0.911764705882353
0.07,0.0661764705882353,0.933823529411765
0.1,0.0857142857142857,0.941176470588235
0.15,0.123745819397993,0.963235294117647
0.2,0.193251533742331,0.966911764705882
0.25,0.209580838323353,0.970588235294118
0.3,0.275956284153005,0.974264705882353
0.35,0.308093994778068,0.974264705882353
0.4,0.336658354114713,0.977941176470588
0.45,0.376168224299065,0.981617647058823
0.5,0.439075630252101,0.981617647058823
0.55,0.52064631956912,0.981617647058823
0.6,0.59236641221374,0.981617647058823
0.65,0.667905824039653,0.985294117647059
0.7,0.735439289239882,0.985294117647059
0.75,0.765529308836395,0.985294117647059
0.8,0.815680880330124,0.985294117647059
0.85,0.821808510638298,0.985294117647059
0.9,0.821808510638298,0.985294117647059
0.95,0.821808510638298,0.985294117647059
1,0.821808510638298,0.985294117647059
