"alpha","FDR","power"
0.02,0.0108695652173913,0.794759825327511
0.05,0.0522565320665083,0.87117903930131
0.07,0.0578703703703704,0.888646288209607
0.1,0.111111111111111,0.943231441048035
0.15,0.15678776290631,0.962882096069869
0.2,0.201438848920863,0.96943231441048
0.25,0.285031847133758,0.980349344978166
0.3,0.332838038632987,0.980349344978166
0.35,0.375866851595007,0.982532751091703
0.4,0.433249370277078,0.982532751091703
0.45,0.469964664310954,0.982532751091703
0.5,0.509803921568627,0.982532751091703
0.55,0.585635359116022,0.982532751091703
0.6,0.630238290879211,0.982532751091703
0.65,0.677881173944166,0.982532751091703
0.7,0.720323182100684,0.982532751091703
0.75,0.720323182100684,0.982532751091703
0.8,0.720323182100684,0.982532751091703
0.85,0.720323182100684,0.982532751091703
0.9,0.720323182100684,0.982532751091703
0.95,0.720323182100684,0.982532751091703
1,0.720323182100684,0.982532751091703
