lfdr,p_values
0.0,1.1102230246251565e-16
0.0,3.3306690738754696e-16
0.0,9.992007221626409e-16
0.0,4.3298697960381105e-15
0.0,1.1102230246251565e-14
0.0,1.2212453270876722e-14
0.0,1.3655743202889425e-14
0.0,4.0745185003743245e-14
0.0,3.402833570476105e-13
0.0,5.574429806642911e-13
0.0,1.9803048090238917e-12
0.0,2.057243264630415e-12
0.0,3.3527625120655102e-12
0.0,3.4331426590483716e-12
0.0,6.477152147965626e-12
0.0,1.3417045252595017e-11
0.0,9.150347146658078e-11
0.0,1.3247569707885987e-10
0.0,1.6773071820352925e-10
0.0,3.1092639574126224e-10
0.0,3.390919767198852e-10
0.0,4.3163017604541665e-10
0.0,5.397581270827345e-10
0.0,7.701311810492939e-10
0.0,1.0527458904618925e-09
0.0,2.6719166879018985e-09
0.0,2.9811848545335806e-09
0.0,6.1998042255595465e-09
0.0,9.38880584389068e-09
0.0,9.763908903615004e-09
0.0,1.989032771820831e-08
0.0,2.3388499026388843e-08
0.0,3.435464557277612e-08
0.0,5.4673859883891396e-08
0.0,5.483440235209969e-08
0.0,6.92407232660841e-08
0.0,7.357334474988875e-08
0.0,8.953408725531631e-08
0.0,9.622197894021411e-08
0.0,9.762173902583271e-08
0.0,1.1779644448761672e-07
0.0,1.3366106998979888e-07
0.0,2.695269388786059e-07
0.0,3.697658026435846e-07
0.0,5.216271535823935e-07
0.0,1.6579258034221667e-06
0.0,1.7676999279903072e-06
0.0,2.377947565523897e-06
0.0,2.718642375443281e-06
0.0,2.8649117006507296e-06
0.0,3.455181832645593e-06
0.0,3.7744208193357665e-06
0.0,3.867716930616716e-06
0.0,4.3996540204371826e-06
0.0,4.4014518906232425e-06
0.0,4.940027743649544e-06
0.0,5.111307761151984e-06
0.0,5.690295030835735e-06
0.0,6.027852923362609e-06
0.0,8.748896858756794e-06
0.0,9.722419031299445e-06
0.0,9.793260551949068e-06
0.0,1.013965078677792e-05
0.0,1.1857122413694299e-05
0.0,1.1927316152626766e-05
0.0,1.5581608813430847e-05
0.0,1.740844499542593e-05
0.0,1.9655274457019978e-05
0.0,2.3033479969680748e-05
0.0,2.4884522545343124e-05
0.0,2.512694632472723e-05
0.0,3.845626833010041e-05
0.0,3.934129848381929e-05
0.0,4.384988918881838e-05
0.0,5.6054609028022284e-05
0.0,6.296807194561271e-05
0.0,6.306702518432683e-05
