"FDR","pow"
0.004739336492891,0.702341137123746
0.0347826086956522,0.74247491638796
0.0504201680672269,0.755852842809365
0.0728744939271255,0.765886287625418
0.118081180811808,0.79933110367893
0.192307692307692,0.842809364548495
0.231671554252199,0.876254180602007
0.285714285714286,0.88628762541806
0.34390243902439,0.899665551839465
0.394273127753304,0.919732441471572
0.470588235294118,0.933110367892977
0.510489510489511,0.936454849498328
0.5609375,0.939799331103679
0.61118690313779,0.953177257525084
0.648681055155875,0.979933110367893
0.695336787564767,0.983277591973244
0.757201646090535,0.986622073578595
0.788543140028289,1
0.818677986658581,1
0.818677986658581,1
0.818677986658581,1
0.818677986658581,1
