"alpha","FDR","power"
0.02,0,0
0.05,0,0.152027027027027
0.07,0.0363636363636364,0.179054054054054
0.1,0.0357142857142857,0.182432432432432
0.15,0.0645161290322581,0.195945945945946
0.2,0.0714285714285714,0.219594594594595
0.25,0.11214953271028,0.320945945945946
0.3,0.133333333333333,0.351351351351351
0.35,0.136363636363636,0.385135135135135
0.4,0.235294117647059,0.483108108108108
0.45,0.305084745762712,0.554054054054054
0.5,0.358208955223881,0.581081081081081
0.55,0.395189003436426,0.594594594594595
0.6,0.510152284263959,0.652027027027027
0.65,0.608782435129741,0.662162162162162
0.7,0.698461538461538,0.662162162162162
0.75,0.73901464713715,0.662162162162162
0.8,0.831498729889924,0.672297297297297
0.85,0.86237897648686,0.672297297297297
0.9,0.863885088919289,0.672297297297297
0.95,0.863885088919289,0.672297297297297
1,0.863885088919289,0.672297297297297
