"FDR","pow"
0,0.0506666666666667
0.107142857142857,0.0666666666666667
0.133333333333333,0.0693333333333333
0.212121212121212,0.0693333333333333
0.25,0.072
0.25,0.08
0.304347826086957,0.0853333333333333
0.34,0.088
0.383333333333333,0.0986666666666667
0.390625,0.104
0.471264367816092,0.122666666666667
0.53448275862069,0.144
0.566433566433566,0.165333333333333
0.589473684210526,0.208
0.649402390438247,0.234666666666667
0.691176470588235,0.28
0.738219895287958,0.4
0.76078431372549,0.488
0.803131991051454,0.704
0.824528301886792,0.744
0.825733916302311,0.744
0.825733916302311,0.744
