"alpha","FDR","power"
0.02,0,0
0.05,0.0204081632653061,0.128
0.07,0.0161290322580645,0.162666666666667
0.1,0.0296296296296296,0.349333333333333
0.15,0.0925925925925926,0.392
0.2,0.132352941176471,0.472
0.25,0.158798283261803,0.522666666666667
0.3,0.199248120300752,0.568
0.35,0.257328990228013,0.608
0.4,0.287878787878788,0.626666666666667
0.45,0.330555555555556,0.642666666666667
0.5,0.355263157894737,0.653333333333333
0.55,0.447826086956522,0.677333333333333
0.6,0.526508226691042,0.690666666666667
0.65,0.571192052980132,0.690666666666667
0.7,0.602150537634409,0.690666666666667
0.75,0.665816326530612,0.698666666666667
0.8,0.776942355889724,0.712
0.85,0.81056338028169,0.717333333333333
0.9,0.815374056280027,0.717333333333333
0.95,0.815374056280027,0.717333333333333
1,0.815374056280027,0.717333333333333
