"alpha","FDR","power"
0.02,0,0
0.05,0.0476190476190476,0.0763358778625954
0.07,0.0476190476190476,0.0763358778625954
0.1,0.0434782608695652,0.083969465648855
0.15,0.0967741935483871,0.106870229007634
0.2,0.0909090909090909,0.114503816793893
0.25,0.0909090909090909,0.114503816793893
0.3,0.0789473684210526,0.133587786259542
0.35,0.0975609756097561,0.141221374045802
0.4,0.196078431372549,0.156488549618321
0.45,0.207547169811321,0.16030534351145
0.5,0.313953488372093,0.225190839694656
0.55,0.356521739130435,0.282442748091603
0.6,0.4,0.320610687022901
0.65,0.412162162162162,0.33206106870229
0.7,0.491935483870968,0.480916030534351
0.75,0.717592592592593,0.698473282442748
0.8,0.790857142857143,0.698473282442748
0.85,0.847753743760399,0.698473282442748
0.9,0.872664359861592,0.702290076335878
0.95,0.872664359861592,0.702290076335878
1,0.872664359861592,0.702290076335878
