"alpha","FDR","power"
0.02,0,0
0.05,0.0555555555555556,0.089238845144357
0.07,0.0555555555555556,0.089238845144357
0.1,0.0789473684210526,0.0918635170603675
0.15,0.131147540983607,0.139107611548556
0.2,0.149253731343284,0.149606299212598
0.25,0.188888888888889,0.191601049868766
0.3,0.285714285714286,0.249343832020997
0.35,0.310126582278481,0.286089238845144
0.4,0.325842696629214,0.31496062992126
0.45,0.354166666666667,0.325459317585302
0.5,0.401709401709402,0.36745406824147
0.55,0.450549450549451,0.393700787401575
0.6,0.485254691689008,0.503937007874016
0.65,0.515837104072398,0.561679790026247
0.7,0.541751527494908,0.590551181102362
0.75,0.642857142857143,0.62992125984252
0.8,0.686624203821656,0.645669291338583
0.85,0.758687258687259,0.656167979002625
0.9,0.823157894736842,0.661417322834646
0.95,0.823157894736842,0.661417322834646
1,0.823157894736842,0.661417322834646
