"FDR","pow"
0,0.0769230769230769
0,0.0869565217391304
0,0.0903010033444816
0.0344827586206897,0.0936454849498328
0.184210526315789,0.103678929765886
0.255813953488372,0.107023411371237
0.306122448979592,0.11371237458194
0.310344827586207,0.133779264214047
0.333333333333333,0.133779264214047
0.423076923076923,0.150501672240803
0.438202247191011,0.167224080267559
0.463917525773196,0.173913043478261
0.583815028901734,0.240802675585284
0.66023166023166,0.294314381270903
0.679442508710801,0.307692307692308
0.694704049844237,0.327759197324415
0.701408450704225,0.354515050167224
0.739307535641548,0.42809364548495
0.794326241134752,0.48494983277592
0.823340471092077,0.551839464882943
0.847417840375587,0.652173913043478
0.861256544502618,0.709030100334448
