"alpha","FDR","power"
0.02,0,0.190340909090909
0.05,0.0125,0.224431818181818
0.07,0.0119047619047619,0.235795454545455
0.1,0.0112359550561798,0.25
0.15,0.0336134453781513,0.326704545454545
0.2,0.101190476190476,0.428977272727273
0.25,0.132743362831858,0.556818181818182
0.3,0.156,0.599431818181818
0.35,0.19047619047619,0.627840909090909
0.4,0.211805555555556,0.644886363636364
0.45,0.26605504587156,0.681818181818182
0.5,0.339572192513369,0.701704545454545
0.55,0.410138248847926,0.727272727272727
0.6,0.483300589390963,0.747159090909091
0.65,0.571197411003236,0.752840909090909
0.7,0.631724137931034,0.758522727272727
0.75,0.708559046587216,0.764204545454545
0.8,0.819563780568407,0.775568181818182
0.85,0.819563780568407,0.775568181818182
0.9,0.819563780568407,0.775568181818182
0.95,0.819563780568407,0.775568181818182
1,0.819563780568407,0.775568181818182
