"alpha","FDR","power"
0.02,0.0155038759689922,0.323155216284987
0.05,0.0206896551724138,0.361323155216285
0.07,0.0314465408805031,0.391857506361323
0.1,0.0625,0.419847328244275
0.15,0.0747663551401869,0.50381679389313
0.2,0.0865800865800866,0.536895674300254
0.25,0.112403100775194,0.582697201017812
0.3,0.145907473309609,0.610687022900763
0.35,0.181528662420382,0.653944020356234
0.4,0.201219512195122,0.666666666666667
0.45,0.218390804597701,0.692111959287532
0.5,0.261333333333333,0.704834605597964
0.55,0.329383886255924,0.720101781170484
0.6,0.421686746987952,0.732824427480916
0.65,0.48861646234676,0.743002544529262
0.7,0.550077041602465,0.743002544529262
0.75,0.618677042801556,0.748091603053435
0.8,0.770628311884936,0.770992366412214
0.85,0.796791443850267,0.7735368956743
0.9,0.796791443850267,0.7735368956743
0.95,0.796791443850267,0.7735368956743
1,0.796791443850267,0.7735368956743
