"alpha","FDR","power"
0.02,0,0
0.05,0.0119047619047619,0.373873873873874
0.07,0.0344827586206897,0.378378378378378
0.1,0.0340909090909091,0.382882882882883
0.15,0.0612244897959184,0.414414414414414
0.2,0.0776699029126214,0.427927927927928
0.25,0.0857142857142857,0.432432432432432
0.3,0.114754098360656,0.486486486486487
0.35,0.136363636363636,0.513513513513513
0.4,0.153284671532847,0.522522522522523
0.45,0.228070175438596,0.594594594594595
0.5,0.27,0.657657657657658
0.55,0.295774647887324,0.675675675675676
0.6,0.359183673469388,0.707207207207207
0.65,0.407272727272727,0.734234234234234
0.7,0.472049689440994,0.765765765765766
0.75,0.48036253776435,0.774774774774775
0.8,0.626050420168067,0.801801801801802
0.85,0.739446870451237,0.806306306306306
0.9,0.796590909090909,0.806306306306306
0.95,0.871315600287563,0.806306306306306
1,0.871315600287563,0.806306306306306
